Start&Side,Finish&Side,GSO
22,43,1
21,41,-1
31,43,-1
41,43,-1
33,42,-1
43,43,-1
31,42,-1
13,42,1
32,43,-1
21,43,-1
33,43,-1
42,42,-1
12,41,-1
33,42,-1
22,41,-1
41,41,-1
41,41,-1
12,42,-1
13,43,-1
42,42,1
33,43,-1
42,42,-1
32,43,1
43,43,-1
31,41,-1
11,41,-1
41,41,-1
31,41,-1
23,43,-1
31,41,-1
13,42,-1
11,41,-1
21,41,-1
33,43,-1
21,41,-1
32,43,-1
22,41,-1
23,41,-1
32,42,-1
11,41,-1
23,43,-1
33,42,1
41,41,-1
11,41,-1
23,43,-1
21,41,-1
31,43,-1
12,42,-1
12,41,-1
32,42,-1
41,41,1
43,41,-1
12,43,1
11,42,-1
42,42,-1
21,41,-1
33,42,-1
42,42,-1
32,42,-1
13,43,-1
11,41,-1
42,42,-1
32,41,-1
12,42,-1
23,42,1
31,41,-1
43,43,-1
23,43,-1
33,43,-1
42,42,-1
33,43,-1
12,42,-1
31,42,-1
33,43,-1
32,41,-1
32,42,-1
21,41,-1
42,42,1
23,43,-1
32,42,-1
13,43,-1
22,42,-1
42,42,-1
22,42,1
22,42,1
33,42,1
41,41,-1
32,42,-1
33,41,-1
21,42,-1
23,41,-1
21,41,-1
42,42,-1
43,43,-1
43,43,1
32,42,-1
43,42,1
43,42,1
11,41,-1
11,41,1
41,42,-1
32,42,-1
12,42,-1
12,42,1
41,41,-1
23,43,-1
31,41,-1
32,42,-1
13,41,-1
11,41,-1
33,43,-1
33,41,-1
32,42,-1
41,41,-1
21,41,-1
22,42,-1
33,43,-1
31,42,1
11,43,-1
31,42,-1
12,43,-1
22,42,-1
41,41,-1
41,41,-1
33,41,-1
41,41,-1
31,43,-1
13,43,-1
23,43,-1
21,41,-1
12,43,-1
33,43,-1
42,42,-1
41,41,-1
31,43,1
41,41,-1
42,43,1
42,42,1
23,41,-1
31,41,-1
31,41,-1
32,42,-1
43,42,-1
11,41,-1
42,42,-1
32,43,1
43,42,-1
22,42,-1
21,43,-1
41,41,1
12,42,-1
22,43,-1
21,43,-1
12,41,-1
32,41,1
41,41,-1
42,42,-1
13,43,-1
32,42,-1
31,41,-1
41,43,-1
11,42,-1
33,42,1
32,42,-1
43,43,-1
13,42,-1
11,43,-1
13,43,-1
33,41,-1
12,43,-1
43,42,-1
21,41,-1
